Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Naive Bayes, total_payments, total_stock_value, , 0.85267, 0.38854, 0.18300, 0.24881, 0.20465
Naive Bayes, total_payments, exercised_stock_options, , 0.84936, 0.43410, 0.17950, 0.25398, 0.20335
Naive Bayes, total_payments, bonus, , 0.82838, 0.34371, 0.12700, 0.18547, 0.14533
Naive Bayes, total_payments, restricted_stock, , 0.83036, 0.20565, 0.06550, 0.09936, 0.07584
Naive Bayes, total_payments, shared_receipt_with_poi, , 0.82721, 0.10841, 0.02900, 0.04576, 0.03398
Naive Bayes, total_payments, to_messages, , 0.83293, 0.10490, 0.02250, 0.03705, 0.02669
Naive Bayes, total_payments, from_messages, , 0.83336, 0.19224, 0.05200, 0.08186, 0.06088
Naive Bayes, total_payments, from_poi_ratio, , 0.82669, 0.08525, 0.01300, 0.02256, 0.01565
Naive Bayes, total_payments, shared_receipt_poi_ratio, , 0.83600, 0.10000, 0.01850, 0.03122, 0.02210
Naive Bayes, total_payments, to_poi_ratio, , 0.82831, 0.11074, 0.01650, 0.02872, 0.01988
Naive Bayes, total_payments, bonus_salary_ratio, , 0.82262, 0.05780, 0.01000, 0.01705, 0.01198
Naive Bayes, total_payments, exercised_stock_percent, , 0.83750, 0.10826, 0.01900, 0.03233, 0.02275
Naive Bayes, total_payments, bonus_total_ratio, , 0.82262, 0.05780, 0.01000, 0.01705, 0.01198
Naive Bayes, total_stock_value, exercised_stock_options, , 0.84069, 0.46889, 0.26750, 0.34066, 0.29264
Naive Bayes, total_stock_value, bonus, , 0.84892, 0.51565, 0.29650, 0.37651, 0.32404
Naive Bayes, total_stock_value, restricted_stock, , 0.85754, 0.57505, 0.28350, 0.37977, 0.31549
Naive Bayes, total_stock_value, shared_receipt_with_poi, , 0.84150, 0.40697, 0.23950, 0.30154, 0.26098
Naive Bayes, total_stock_value, to_messages, , 0.86736, 0.57534, 0.27300, 0.37030, 0.30506
Naive Bayes, total_stock_value, from_messages, , 0.86414, 0.54861, 0.27650, 0.36769, 0.30695
Naive Bayes, total_stock_value, from_poi_ratio, , 0.86408, 0.62704, 0.28750, 0.39424, 0.32242
Naive Bayes, total_stock_value, shared_receipt_poi_ratio, , 0.87129, 0.60903, 0.27650, 0.38033, 0.31040
Naive Bayes, total_stock_value, to_poi_ratio, , 0.86608, 0.64534, 0.28750, 0.39779, 0.32336
Naive Bayes, total_stock_value, bonus_salary_ratio, , 0.86392, 0.62791, 0.28350, 0.39063, 0.31843
Naive Bayes, total_stock_value, exercised_stock_percent, , 0.86131, 0.61467, 0.26400, 0.36936, 0.29800
Naive Bayes, total_stock_value, bonus_total_ratio, , 0.86392, 0.62791, 0.28350, 0.39063, 0.31843
Naive Bayes, exercised_stock_options, bonus, , 0.84354, 0.48537, 0.28200, 0.35674, 0.30779
Naive Bayes, exercised_stock_options, restricted_stock, , 0.85100, 0.52941, 0.28350, 0.36926, 0.31253
Naive Bayes, exercised_stock_options, shared_receipt_with_poi, , 0.83350, 0.50099, 0.25350, 0.33665, 0.28129
Naive Bayes, exercised_stock_options, to_messages, , 0.84200, 0.55556, 0.26000, 0.35422, 0.29096
Naive Bayes, exercised_stock_options, from_messages, , 0.84267, 0.55082, 0.30350, 0.39136, 0.33344
Naive Bayes, exercised_stock_options, from_poi_ratio, , 0.84492, 0.57202, 0.27600, 0.37234, 0.30786
Naive Bayes, exercised_stock_options, shared_receipt_poi_ratio, , 0.84775, 0.59077, 0.28150, 0.38131, 0.31442
Naive Bayes, exercised_stock_options, to_poi_ratio, , 0.84233, 0.55613, 0.26750, 0.36124, 0.29848
Naive Bayes, exercised_stock_options, bonus_salary_ratio, , 0.85200, 0.53831, 0.26700, 0.35695, 0.29693
Naive Bayes, exercised_stock_options, exercised_stock_percent, , 0.90409, 0.46055, 0.32100, 0.37831, 0.34171
Naive Bayes, exercised_stock_options, bonus_total_ratio, , 0.85200, 0.53831, 0.26700, 0.35695, 0.29693
Naive Bayes, bonus, restricted_stock, , 0.82217, 0.41986, 0.17550, 0.24753, 0.19862
Naive Bayes, bonus, shared_receipt_with_poi, , 0.80573, 0.42117, 0.18300, 0.25514, 0.20634
Naive Bayes, bonus, to_messages, , 0.81909, 0.50850, 0.14950, 0.23107, 0.17408
